Question,Answer,Reason
วิธีการจัดซื้อจัดจ้าง ตาม พรบ. การจัดซื้อจัดจ้าง พ.ศ. 2560 มีกี่วิธี อะไรบ้าง,มี 3 วิธี ได้แก่ วิธีประกาศเชิญชวนทั่วไป วิธีคัดเลือก และวิธีเฉพาะเจาะจง,มาตรา 55 แห่ง พรบ.การจัดซื้อจ้าง พ.ศ. 2560 และระเบียบกระทรวงการคลัง  ว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560  ข้อ 28 
วิธีประกาศเชิญชวนทั่วไป กระทําได้กี่วิธี อะไรบ้าง,"มี 3 วิธี ได้แก่  1. วิธีตลาดอิเล็กทรอนิกส์  (e – market) 
2. วิธีประกวดราคาอิเล็กทรอนิกส์ (e – bidding)
3. วิธีสอบราคา",ระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560 ข้อ 29 
"คณะกรรมการซื้อหรือจ้าง ตามระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560 
มีกี่คณะ อะไรบ้าง","มี 5 คณะ ได้แก่ 1. คณะกรรมการพิจารณาผลการประกวดราคาอิเล็กทรอนิกส์ 
2. คณะกรรมกาพิจารณาผลการสอบราคา
3. คณะกรรมการซื้อหรือจ้างโดยวิธีคัดเลือก
4. คณะกรรมการซื้อหรือจ้างโดยวิธีเฉพาะเจาะจง
5. คณะกรรมการตรวจรับพัสดุ",ระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560 ข้อ 25
โทษสําหรับเจ้าหน้าที่ที่ปฏิบัติหรือละเว้นการปฏิบัติหน้าที่ในการจัดซื้อจัดจ้างโดยทุจริต ได้แก่,โทษจําคุก ตั้งแต่ หนึ่งถึงสิบปี หรือปรับตั้งแต่สองหมื่นถึงสองแสนบาท หรือทั้งจําทั้งปรับ,มาตรา 120 แห่ง พรบ.การจัดซื้อจัดจ้างฯ พ.ศ. 2560
หลักการจัดซื้อจัดจ้าง ตาม พรบ.การจัดซื้อจัดจ้างฯ พ.ศ. 2560 มีกี่ข้อ อะไรบ้าง,มี 4 ข้อ  ได้แก่  1 คุ้มค่า  2 โปร่งใส  3 มีประสิทธิภาพและประสิทธิผล  4 ตรวจสอบได้,มาตรา 8 แห่ง พรบ. การจัดซื้อจัดจ้างฯ พ.ศ. 2560
"เมื่อหน่วยงานของรัฐจัดทําแผนการจัดซื้อจัดจ้างประจําปีเสร็จแล้ว ต้องประกาศเผยแพร่แผน
ดังกล่าวทางช่องทางใด","ต้องเผยแพร่แผนการจัดซื้อจัดจ้างประจําปี ในทุกช่องทาง ดังนี้ 
1. ในระบบเครือข่ายสารสนเทศของกรมบัญชีกลาง (ในระบบ e – GP ของกรมบัญชีกลาง)
2. ในระบบเครือข่ายสารสนเทศของหน่วยงาน (เว็บไซต์ของหน่วยงาน)
3. ปิดประกาศโดยเปิดเผย ณ สถานที่ปิดประกาศของหน่วยงาน",มาตรา 11 แห่ง พรบ. การจัดซื้อจัดจ้างฯ พ.ศ. 2560
"ร่างขอบเขตของงาน (TOR) กล้องสํารวจแบบประมวลผลรวม จํานวน 100 ชุด เป็นเงิน
15,000,000 บาท หน่วยงานต้องจัดให้มีการรับฟังความคิดเห็นหรือไม่ เพราะเหตุใด มีหลักเกณฑ์อย่างไร","หน่วยงานต้องจัดให้มีการรับฟังความคิดเห็น (เสนอแนะ/วิจารณ์) เนื่องจากวงเงินในการจัดหา
เกินกว่า 5,000,000 บาท สําหรับหลักเกณฑ์ในการจัดให้มีการรับฟังความคิดเห็น มีดังนี้
 1. การจัดซื้อจัดจ้างครั้งหนึ่ง มีวงเงินเกิน 500,000 บาท แต่ไม่เกิน 5,000,000 บาท ให้อยู่ในดุลพินิจ
ของหัวหน้าหน่วยงานจะให้มีการเผยแพร่เพื่อให้มีการเสนอแนะ/วิจารณ์ หรือไม่ก็ได้
 2. การจัดซื้อจัดจ้างครั้งหนึ่ง มีวงเงินเกิน 5,000,000 บาท หน่วยงานต้องนําร่าง TOR ร่างประกาศและ
ร่างเอกสารประกวดราคาเผยแพร่ เพื่อให้มีการเสนอแนะ/วิจารณ์ เป็นเวลาติดต่อกันไม่น้อยกว่า 3 วันทําการ ",ระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560 ข้อ 45 และข้อ 46
การจัดจ้างผลิตหลักเขตที่ดิน (หลักปูน)  สามารถกระทําได้โดยวิธีใด,"สามารถกระทําได้ 3 วิธี คือ 
  
  
1. วิธีเฉพาะเจาะจง  
  
  
2. วิธีคัดเลือก 
  
  
3. วิธีประกาศเชิญชวนทั่วไป",พรบ.การจัดซื้อจัดจ้างฯ พ.ศ. 2560 มาตรา 56 (2) (ข) และกฎกระทรวงกําหนดพัสดุที่รัฐ ต้องการส่งเสริมหรือสนับสนุน พ.ศ.2560 หมวด 2
"ตามระเบียบกระทรวงการคลังฯ ว่าด้วยการจัดซื้อจัดจ้างฯ พ.ศ. 2560 ในราชการบริหาร
ส่วนกลาง วิธีการจัดซื้อจัดจ้างใด โดยปกติไม่สามารถกระทําได้ เพราะเหตุใด","วิธีสอบราคา เนื่องจากการซื้อหรือจ้างครั้งหนึ่ง ที่มีวงเงินเกิน 500,000 บาท แต่ไม่เกิน 
5,000,000 บาท จะกระทําได้เฉพาะในกรณีที่หน่วยงานนั้นตั้งอยู่ในพื้นที่ที่มีข้อจํากัดในการใช้สัญญาณอินเทอร์เน็ต
ทําให้ไม่สามารถดําเนินการโดยวิธีตลาดอิเล็กทรอนิกส์หรือวิธีประกวดราคาอิเล็กทรอนิกส์ได้ โดยเจ้าหน้าที่ต้องระบุ
เหตุผลความจําเป็นไว้ในรายงานขอซื้อหรือขอจ้างด้วย",ระเบียบกระทรวงการคลังว่าด้วยการจัดซื้อจัดจ้าง พ.ศ. 2560 ข้อ 32
ขั้นตอนสุดท้ายของการบริหารพัสดุ คือขั้นตอนใด,"การบริหารพัสดุ หมายถึง การเก็บ การบันทึก การเบิกจ่าย การยืม การตรวจสอบ  
การบํารุงรักษา และการจําหน่ายพัสดุ  (การจําหน่ายพัสดุจึงเป็นขั้นตอนสุดท้ายของการบริหารพัสดุ  
คือการจําหน่ายออกจากบัญชี)",พรบ.การจัดซื้อจัดจ้างฯ พ.ศ. 2560 มาตรา 4 ความหมายของการบริหารพัสดุ
